CustomerID,Type_of_customer,Build_Distribution,Version_Distribution,Software_Edition,OS_Distribution,RAM_Distribution,PC_Type,CPU_Cores,Country,Date_of_Onboard
2865,Best Customer,Build 232,Version 8.3,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,GB,2/7/2015
58496,Best Customer,Build 380,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,AU,1/2/2015
57641,Best Customer,Build 232,Version 8.3,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,AU,3/30/2015
63273,Best Customer,Build 380,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,3/3/2015
28020,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,2 Cores,GB,2/10/2015
4068,Former Best,Build 232,Version 7.1,Standard,MS Win Server 2008,>2GB & <= 4 GB,Mobile,1 Core,DE,3/11/2015
6112,Former Best,Build 232,Version 7.1,High,MS Win XP,>2GB & <= 4 GB,Desktop,1 Core,AU,2/4/2015
97239,Former Best,Build 410,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,DE,3/13/2015
68356,Best Customer,Build 410,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Laptop,1 Core,GB,3/15/2015
67823,One time user,Build 410,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,1/17/2015
59034,Former Best,Build 232,Version 7.1,Standard,MS Win XP, > 6 GB,Desktop,1 Core,FR,1/28/2015
33560,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,2 Cores,AU,2/20/2015
44487,New Client,Build 232,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,DE,3/7/2015
69662,One time user,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,1 Core,DE,1/11/2015
99139,Former Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,AU,1/29/2015
7054,One time user,Build 232,Version 7.1,Lite,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,AU,1/25/2015
2724,Best Customer,Build 380,Version 7.1,Standard,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,1 Core,GB,2/3/2015
40648,One time user,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Laptop,1 Core,AU,1/24/2015
95118,Best Customer,Build 232,Version 8.3,Standard,MS Win 7, > 6 GB,Laptop,1 Core,GB,2/17/2015
84906,One time user,Build 232,Version 7.1,Lite,MS Win XP,>2GB & <= 4 GB,Mobile,1 Core,DE,1/6/2015
98235,One time user,Build 232,Version 7.1,Lite,MS Win Server 2008,>4GB & <= 6 GB,Desktop,1 Core,GB,1/15/2015
82755,One time user,Build 410,Version 8.3,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,US,3/13/2015
42498,One time user,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,FR,3/31/2015
23328,One time user,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,DE,1/7/2015
1691,Former Best,Build 232,Version 10.2,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,2/24/2015
61464,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,8 Cores,US,2/23/2015
60849,Former Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Laptop,1 Core,DE,1/19/2015
15782,Best Customer,Build 232,Version 8.3,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,GB,3/2/2015
26560,New Client,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,AU,3/14/2015
77737,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,AU,3/8/2015
70693,Former Best,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,GB,2/23/2015
34550,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,AU,3/10/2015
56140,Best Customer,Build 232,Version 10.2,Standard,MS Win Server 2003, > 6 GB,Desktop,2 Cores,FR,1/10/2015
57244,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,DE,1/30/2015
24056,Best Customer,Build 410,Version 8.3,High,MS Win Server 2003,>1GB & <= 2 GB,Desktop,1 Core,US,1/26/2015
26335,One time user,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,DE,3/29/2015
48447,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,1 Core,GB,3/1/2015
43337,One time user,Build 232,Version 7.1,Standard,MS Win 7, > 6 GB,Laptop,1 Core,AU,1/30/2015
75897,Best Customer,Build 999,Version 8.3,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,DE,2/13/2015
57206,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, <= 512 MB,Desktop,2 Cores,DE,1/25/2015
4231,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,3/19/2015
16028,One time user,Build 410,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,AU,3/10/2015
58705,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,4 Cores,DE,2/2/2015
98444,Best Customer,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,DE,3/23/2015
68215,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008,>4GB & <= 6 GB,Desktop,8 Cores,AU,1/21/2015
94225,Best Customer,Build 232,Version 7.1,High,MS Win 7,>512 MB  & <= 1 GB,Desktop,2 Cores,DE,2/8/2015
99867,Best Customer,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,JP,3/19/2015
5918,One time user,Build 410,Version 10.2,Standard,MS Win 7,>4GB & <= 6 GB,Laptop,1 Core,US,3/31/2015
15602,Best Customer,Build 999,Version 7.1,Standard,MS Win Server 2003,>1GB & <= 2 GB,Mobile,1 Core,US,2/20/2015
38575,Best Customer,Build 410,Version 7.1,Standard,MS Win Server 2003,>4GB & <= 6 GB,Desktop,2 Cores,GB,1/30/2015
3553,Former Best,Build 232,Version 7.1,Standard,MS Win 7, > 6 GB,Desktop,8 Cores,AU,1/26/2015
68571,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,2/21/2015
5253,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,AU,3/12/2015
53488,Former Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,4 Cores,AU,1/29/2015
81804,Former Best,Build 232,Version 7.1,High,MS Win 7,>2GB & <= 4 GB,Desktop,2 Cores,FR,3/13/2015
4385,New Client,Build 380,Version 7.1,Standard,MS Win Server 2008,>512 MB  & <= 1 GB,Mobile,1 Core,GB,3/7/2015
60240,One time user,Build 232,Version 8.3,High,MS Win 7, > 6 GB,Desktop,4 Cores,DE,3/25/2015
81682,Former Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,8 Cores,AU,3/30/2015
71846,New Client,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,AU,3/1/2015
33188,One time user,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,GB,1/18/2015
14870,Former Best,Build 232,Version 7.1,Standard,MS Win 7, > 6 GB,Desktop,1 Core,US,3/17/2015
68718,One time user,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,DE,2/21/2015
87599,Former Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Mobile,1 Core,AU,1/15/2015
38731,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,DE,1/16/2015
98298,Former Best,Build 410,Version 7.1,High,MS Win Server 2008,>2GB & <= 4 GB,Desktop,2 Cores,AU,2/10/2015
17388,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008,>2GB & <= 4 GB,Desktop,2 Cores,AU,1/6/2015
25871,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,AU,3/25/2015
13842,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,1 Core,FR,3/10/2015
17574,Former Best,Build 232,Version 7.1,Standard,MS Win 7,>4GB & <= 6 GB,Desktop,1 Core,AU,2/9/2015
35184,New Client,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,JP,2/19/2015
78292,One time user,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,AU,2/8/2015
80398,One time user,Build 999,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,AU,3/9/2015
32020,Former Best,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Laptop,1 Core,AU,2/16/2015
14976,New Client,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,4 Cores,DE,3/24/2015
37095,Former Best,Build 232,Version 7.1,Lite,MS Win Server 2008, > 6 GB,Desktop,1 Core,GB,1/13/2015
24018,Former Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Laptop,1 Core,AU,1/12/2015
81895,Former Best,Build 232,Version 9.4,Standard,MS Win 7, > 6 GB,Desktop,4 Cores,AU,2/6/2015
50292,Former Best,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,DE,3/9/2015
95319,Former Best,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,3/19/2015
13297,Former Best,Build 232,Version 7.1,High,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,8 Cores,AU,3/25/2015
95159,Former Best,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Mobile,8 Cores,US,3/23/2015
44696,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,AU,3/2/2015
78694,Former Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,DE,4/1/2015
26043,One time user,Build 999,Version 7.1,High,MS Win 7, <= 512 MB,Laptop,1 Core,AU,1/28/2015
91291,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,DE,2/25/2015
62596,New Client,Build 232,Version 7.1,Standard,MS Win Server 2008,>1GB & <= 2 GB,Laptop,1 Core,DE,3/30/2015
19351,One time user,Build 410,Version 7.1,High,MS Win 7,>512 MB  & <= 1 GB,Desktop,1 Core,FR,2/17/2015
85214,One time user,Build 232,Version 8.3,Standard,MS Win Server 2008, > 6 GB,Desktop,4 Cores,AU,2/2/2015
7586,Former Best,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,US,2/19/2015
55450,Best Customer,Build 410,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,DE,1/11/2015
32904,New Client,Build 999,Version 8.3,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,AU,1/6/2015
98092,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,DE,1/4/2015
28053,Former Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Mobile,1 Core,AU,1/9/2015
52111,Former Best,Build 380,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,2/11/2015
2431,New Client,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,8 Cores,AU,2/3/2015
49519,One time user,Build 232,Version 7.1,Lite,MS Win Server 2003, > 6 GB,Desktop,2 Cores,DE,4/1/2015
93977,One time user,Build 232,Version 7.1,Standard,MS Win 7, > 6 GB,Laptop,2 Cores,AU,1/3/2015
83881,One time user,Build 380,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,GB,2/2/2015
20889,Former Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,DE,2/16/2015
71433,Former Best,Build 410,Version 7.1,Standard,MS Win 7,>512 MB  & <= 1 GB,Desktop,1 Core,AU,2/18/2015
75585,Former Best,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Desktop,2 Cores,US,1/20/2015
55432,New Client,Build 232,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,4 Cores,AU,3/11/2015
12039,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Mobile,2 Cores,DE,2/22/2015
79241,Former Best,Build 380,Version 7.1,Standard,MS Win Server 2008,>512 MB  & <= 1 GB,Mobile,8 Cores,GB,3/26/2015
28264,Former Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,US,3/7/2015
17233,Best Customer,Build 380,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,2 Cores,JP,3/4/2015
56464,Former Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,1 Core,GB,2/2/2015
59544,One time user,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,AU,3/12/2015
59853,Former Best,Build 410,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,US,3/19/2015
89523,New Client,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Laptop,4 Cores,DE,2/20/2015
55659,New Client,Build 410,Version 7.1,Standard,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,1 Core,DE,3/10/2015
44704,Best Customer,Build 232,Version 10.2,High,MS Win 7,>512 MB  & <= 1 GB,Desktop,4 Cores,GB,2/16/2015
49008,Former Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,DE,3/29/2015
922,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,US,1/12/2015
28364,Best Customer,Build 232,Version 10.2,Lite,MS Win Server 2003, > 6 GB,Mobile,1 Core,DE,3/5/2015
36280,Former Best,Build 380,Version 8.3,High,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,2 Cores,AU,2/27/2015
29140,Former Best,Build 232,Version 8.3,Standard,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,DE,3/3/2015
6470,Former Best,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Mobile,4 Cores,US,3/23/2015
76857,Best Customer,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Mobile,8 Cores,US,1/17/2015
47620,Former Best,Build 232,Version 7.1,Standard,MS Win XP,>1GB & <= 2 GB,Laptop,1 Core,GB,3/16/2015
19070,Best Customer,Build 232,Version 10.2,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,DE,1/13/2015
57663,Best Customer,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,US,1/2/2015
82811,Former Best,Build 410,Version 8.3,Standard,MS Win Server 2003, > 6 GB,Laptop,1 Core,DE,3/21/2015
9129,Best Customer,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,DE,3/30/2015
14788,Best Customer,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,DE,3/7/2015
3104,One time user,Build 232,Version 8.3,High,MS Win Server 2003,>1GB & <= 2 GB,Desktop,1 Core,GB,1/13/2015
12620,Best Customer,Build 232,Version 10.2,High,MS Win Server 2008, > 6 GB,Laptop,8 Cores,DE,3/6/2015
80538,Former Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,GB,2/25/2015
61215,Former Best,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,AU,3/19/2015
96276,Best Customer,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Laptop,2 Cores,JP,3/5/2015
18960,New Client,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,DE,2/21/2015
95659,New Client,Build 410,Version 8.3,High,MS Win XP, > 6 GB,Desktop,1 Core,AU,3/7/2015
14293,One time user,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Laptop,1 Core,US,1/23/2015
46219,Former Best,Build 410,Version 10.2,High,MS Win Server 2003,>2GB & <= 4 GB,Desktop,1 Core,DE,2/1/2015
83519,Best Customer,Build 410,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,DE,3/24/2015
91880,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,US,3/11/2015
8341,Best Customer,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,8 Cores,GB,2/26/2015
55974,One time user,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Laptop,1 Core,AU,2/24/2015
82760,Former Best,Build 232,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,AU,1/15/2015
26850,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,US,2/25/2015
9548,Former Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,AU,1/18/2015
7524,Best Customer,Build 380,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,4 Cores,AU,4/1/2015
58335,Best Customer,Build 410,Version 8.3,High,MS Win XP, > 6 GB,Desktop,1 Core,AU,3/24/2015
93384,One time user,Build 232,Version 9.4,High,MS Win Server 2008, > 6 GB,Desktop,8 Cores,DE,1/6/2015
78250,Best Customer,Build 410,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,DE,3/9/2015
77037,Best Customer,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,GB,2/8/2015
76536,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,US,3/14/2015
44011,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Laptop,8 Cores,DE,2/26/2015
53028,Former Best,Build 232,Version 10.2,High,MS Win Server 2003, > 6 GB,Laptop,1 Core,DE,2/20/2015
10686,Best Customer,Build 232,Version 9.4,High,MS Win Server 2008,>2GB & <= 4 GB,Desktop,8 Cores,AU,1/3/2015
16148,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,4 Cores,US,2/26/2015
92804,One time user,Build 999,Version 7.1,Standard,MS Win Server 2008,>2GB & <= 4 GB,Laptop,1 Core,GB,3/31/2015
11971,Best Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,DE,1/5/2015
78658,Former Best,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Desktop,4 Cores,DE,1/31/2015
95170,Former Best,Build 232,Version 8.3,High,MS Win 7,>4GB & <= 6 GB,Desktop,2 Cores,US,3/12/2015
18053,New Client,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,AU,3/30/2015
77364,Former Best,Build 232,Version 9.4,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,AU,3/23/2015
23534,Best Customer,Build 232,Version 7.1,Standard,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,8 Cores,GB,2/21/2015
61780,Former Best,Build 410,Version 7.1,High,MS Win Server 2003,>1GB & <= 2 GB,Desktop,1 Core,DE,1/5/2015
73256,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,1 Core,AU,3/20/2015
14341,One time user,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,DE,4/1/2015
96293,New Client,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,GB,3/2/2015
76891,Former Best,Build 232,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Mobile,2 Cores,AU,4/1/2015
77882,One time user,Build 410,Version 7.1,High,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,2 Cores,AU,3/31/2015
68825,Former Best,Build 380,Version 7.1,Lite,MS Win Server 2008, > 6 GB,Laptop,1 Core,AU,3/10/2015
2347,Best Customer,Build 410,Version 8.3,High,MS Win Server 2008, > 6 GB,Mobile,1 Core,DE,2/1/2015
12837,Former Best,Build 999,Version 7.1,Standard,MS Win Server 2003,>1GB & <= 2 GB,Mobile,8 Cores,JP,1/26/2015
9299,New Client,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Laptop,8 Cores,DE,1/3/2015
12347,One time user,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,4 Cores,GB,3/23/2015
89620,New Client,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Mobile,8 Cores,DE,2/18/2015
23751,Best Customer,Build 232,Version 10.2,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,DE,2/16/2015
75577,Best Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,FR,3/12/2015
21423,One time user,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,US,1/10/2015
60041,One time user,Build 410,Version 7.1,High,MS Win Server 2008, > 6 GB,Mobile,1 Core,GB,1/25/2015
