,CustomerID,Type_of_customer,Build_Distribution,Version_Distribution,Software_Edition,OS_Distribution,RAM_Distribution,PC_Type,CPU_Cores,Country,Date_of_Onboard
47,79587,Best_Customer,Build 410,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,8 Cores,United Kingdom,1/21/2015
48,176,One_time_user,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,Germany,1/2/2015
49,70509,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,8 Cores,United Kingdom,1/23/2015
50,72896,Former_Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,4 Cores,United States,3/6/2015
51,27581,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008,>2GB & <= 4 GB,Desktop,4 Cores,France,3/13/2015
52,40148,Best_Customer,Build 410,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,United States,1/9/2015
53,2865,Best_Customer,Build 232,Version 8.3,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,United Kingdom,2/7/2015
54,58496,Best_Customer,Build 380,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,Australia,1/2/2015
55,57641,Best_Customer,Build 232,Version 8.3,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,Australia,3/30/2015
56,63273,Best_Customer,Build 380,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,3/3/2015
57,28020,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,2 Cores,United Kingdom,2/10/2015
58,4068,Former_Best,Build 232,Version 7.1,Standard,MS Win Server 2008,>2GB & <= 4 GB,Mobile,1 Core,Germany,3/11/2015
59,6112,Former_Best,Build 232,Version 7.1,High,MS Win XP,>2GB & <= 4 GB,Desktop,1 Core,Australia,2/4/2015
60,97239,Former_Best,Build 410,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,Germany,3/13/2015
61,68356,Best_Customer,Build 410,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Laptop,1 Core,United Kingdom,3/15/2015
62,67823,One_time_user,Build 410,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,1/17/2015
63,59034,Former_Best,Build 232,Version 7.1,Standard,MS Win XP, > 6 GB,Desktop,1 Core,France,1/28/2015
64,33560,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,2 Cores,Australia,2/20/2015
65,44487,New_Client,Build 232,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,Germany,3/7/2015
66,69662,One_time_user,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,1 Core,Germany,1/11/2015
67,99139,Former_Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,Australia,1/29/2015
68,7054,One_time_user,Build 232,Version 7.1,Lite,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,Australia,1/25/2015
69,2724,Best_Customer,Build 380,Version 7.1,Standard,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,1 Core,United Kingdom,2/3/2015
70,40648,One_time_user,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Laptop,1 Core,Australia,1/24/2015
71,95118,Best_Customer,Build 232,Version 8.3,Standard,MS Win 7, > 6 GB,Laptop,1 Core,United Kingdom,2/17/2015
72,84906,One_time_user,Build 232,Version 7.1,Lite,MS Win XP,>2GB & <= 4 GB,Mobile,1 Core,Germany,1/6/2015
73,98235,One_time_user,Build 232,Version 7.1,Lite,MS Win Server 2008,>4GB & <= 6 GB,Desktop,1 Core,United Kingdom,1/15/2015
74,82755,One_time_user,Build 410,Version 8.3,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,United States,3/13/2015
75,42498,One_time_user,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,France,3/31/2015
76,23328,One_time_user,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,Germany,1/7/2015
77,1691,Former_Best,Build 232,Version 10.2,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,2/24/2015
78,61464,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,8 Cores,United States,2/23/2015
79,60849,Former_Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Laptop,1 Core,Germany,1/19/2015
80,15782,Best_Customer,Build 232,Version 8.3,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,United Kingdom,3/2/2015
81,26560,New_Client,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,Australia,3/14/2015
82,77737,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Australia,3/8/2015
83,70693,Former_Best,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,United Kingdom,2/23/2015
84,34550,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,Australia,3/10/2015
85,56140,Best_Customer,Build 232,Version 10.2,Standard,MS Win Server 2003, > 6 GB,Desktop,2 Cores,France,1/10/2015
86,57244,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,Germany,1/30/2015
87,24056,Best_Customer,Build 410,Version 8.3,High,MS Win Server 2003,>1GB & <= 2 GB,Desktop,1 Core,United States,1/26/2015
88,26335,One_time_user,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,Germany,3/29/2015
89,48447,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,1 Core,United Kingdom,3/1/2015
90,43337,One_time_user,Build 232,Version 7.1,Standard,MS Win 7, > 6 GB,Laptop,1 Core,Australia,1/30/2015
91,75897,Best_Customer,Build 999,Version 8.3,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Germany,2/13/2015
92,57206,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, <= 512 MB,Desktop,2 Cores,Germany,1/25/2015
93,4231,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,3/19/2015
94,16028,One_time_user,Build 410,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,Australia,3/10/2015
95,58705,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,4 Cores,Germany,2/2/2015
96,98444,Best_Customer,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,Germany,3/23/2015
97,68215,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008,>4GB & <= 6 GB,Desktop,8 Cores,Australia,1/21/2015
98,94225,Best_Customer,Build 232,Version 7.1,High,MS Win 7,>512 MB  & <= 1 GB,Desktop,2 Cores,Germany,2/8/2015
99,99867,Best_Customer,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Japan,3/19/2015
100,5918,One_time_user,Build 410,Version 10.2,Standard,MS Win 7,>4GB & <= 6 GB,Laptop,1 Core,United States,3/31/2015
101,15602,Best_Customer,Build 999,Version 7.1,Standard,MS Win Server 2003,>1GB & <= 2 GB,Mobile,1 Core,United States,2/20/2015
102,38575,Best_Customer,Build 410,Version 7.1,Standard,MS Win Server 2003,>4GB & <= 6 GB,Desktop,2 Cores,United Kingdom,1/30/2015
103,3553,Former_Best,Build 232,Version 7.1,Standard,MS Win 7, > 6 GB,Desktop,8 Cores,Australia,1/26/2015
104,68571,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,2/21/2015
105,5253,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,Australia,3/12/2015
106,53488,Former_Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,4 Cores,Australia,1/29/2015
107,81804,Former_Best,Build 232,Version 7.1,High,MS Win 7,>2GB & <= 4 GB,Desktop,2 Cores,France,3/13/2015
108,4385,New_Client,Build 380,Version 7.1,Standard,MS Win Server 2008,>512 MB  & <= 1 GB,Mobile,1 Core,United Kingdom,3/7/2015
109,60240,One_time_user,Build 232,Version 8.3,High,MS Win 7, > 6 GB,Desktop,4 Cores,Germany,3/25/2015
110,81682,Former_Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,8 Cores,Australia,3/30/2015
111,71846,New_Client,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,Australia,3/1/2015
112,33188,One_time_user,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,United Kingdom,1/18/2015
113,14870,Former_Best,Build 232,Version 7.1,Standard,MS Win 7, > 6 GB,Desktop,1 Core,United States,3/17/2015
114,68718,One_time_user,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Germany,2/21/2015
115,87599,Former_Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Mobile,1 Core,Australia,1/15/2015
116,38731,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,Germany,1/16/2015
117,98298,Former_Best,Build 410,Version 7.1,High,MS Win Server 2008,>2GB & <= 4 GB,Desktop,2 Cores,Australia,2/10/2015
118,17388,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008,>2GB & <= 4 GB,Desktop,2 Cores,Australia,1/6/2015
119,25871,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,Australia,3/25/2015
120,13842,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,1 Core,France,3/10/2015
121,17574,Former_Best,Build 232,Version 7.1,Standard,MS Win 7,>4GB & <= 6 GB,Desktop,1 Core,Australia,2/9/2015
122,35184,New_Client,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,Japan,2/19/2015
123,78292,One_time_user,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,Australia,2/8/2015
124,80398,One_time_user,Build 999,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,Australia,3/9/2015
125,32020,Former_Best,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Laptop,1 Core,Australia,2/16/2015
126,14976,New_Client,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,4 Cores,Germany,3/24/2015
127,37095,Former_Best,Build 232,Version 7.1,Lite,MS Win Server 2008, > 6 GB,Desktop,1 Core,United Kingdom,1/13/2015
128,24018,Former_Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Laptop,1 Core,Australia,1/12/2015
129,81895,Former_Best,Build 232,Version 9.4,Standard,MS Win 7, > 6 GB,Desktop,4 Cores,Australia,2/6/2015
130,50292,Former_Best,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Desktop,1 Core,Germany,3/9/2015
131,95319,Former_Best,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,3/19/2015
132,13297,Former_Best,Build 232,Version 7.1,High,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,8 Cores,Australia,3/25/2015
133,95159,Former_Best,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Mobile,8 Cores,United States,3/23/2015
134,44696,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,Australia,3/2/2015
135,78694,Former_Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,Germany,4/1/2015
136,26043,One_time_user,Build 999,Version 7.1,High,MS Win 7, <= 512 MB,Laptop,1 Core,Australia,1/28/2015
137,91291,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,Germany,2/25/2015
138,62596,New_Client,Build 232,Version 7.1,Standard,MS Win Server 2008,>1GB & <= 2 GB,Laptop,1 Core,Germany,3/30/2015
139,19351,One_time_user,Build 410,Version 7.1,High,MS Win 7,>512 MB  & <= 1 GB,Desktop,1 Core,France,2/17/2015
140,85214,One_time_user,Build 232,Version 8.3,Standard,MS Win Server 2008, > 6 GB,Desktop,4 Cores,Australia,2/2/2015
141,7586,Former_Best,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,United States,2/19/2015
142,55450,Best_Customer,Build 410,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,Germany,1/11/2015
143,32904,New_Client,Build 999,Version 8.3,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Australia,1/6/2015
144,98092,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,Germany,1/4/2015
145,28053,Former_Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Mobile,1 Core,Australia,1/9/2015
146,52111,Former_Best,Build 380,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,2/11/2015
147,2431,New_Client,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,8 Cores,Australia,2/3/2015
148,49519,One_time_user,Build 232,Version 7.1,Lite,MS Win Server 2003, > 6 GB,Desktop,2 Cores,Germany,4/1/2015
149,93977,One_time_user,Build 232,Version 7.1,Standard,MS Win 7, > 6 GB,Laptop,2 Cores,Australia,1/3/2015
150,83881,One_time_user,Build 380,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United Kingdom,2/2/2015
151,20889,Former_Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,Germany,2/16/2015
152,71433,Former_Best,Build 410,Version 7.1,Standard,MS Win 7,>512 MB  & <= 1 GB,Desktop,1 Core,Australia,2/18/2015
153,75585,Former_Best,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Desktop,2 Cores,United States,1/20/2015
154,55432,New_Client,Build 232,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,4 Cores,Australia,3/11/2015
155,12039,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Mobile,2 Cores,Germany,2/22/2015
156,79241,Former_Best,Build 380,Version 7.1,Standard,MS Win Server 2008,>512 MB  & <= 1 GB,Mobile,8 Cores,United Kingdom,3/26/2015
157,28264,Former_Best,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,United States,3/7/2015
158,17233,Best_Customer,Build 380,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,2 Cores,Japan,3/4/2015
159,56464,Former_Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Laptop,1 Core,United Kingdom,2/2/2015
160,59544,One_time_user,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,Australia,3/12/2015
161,59853,Former_Best,Build 410,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,United States,3/19/2015
162,89523,New_Client,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Laptop,4 Cores,Germany,2/20/2015
163,55659,New_Client,Build 410,Version 7.1,Standard,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,1 Core,Germany,3/10/2015
164,44704,Best_Customer,Build 232,Version 10.2,High,MS Win 7,>512 MB  & <= 1 GB,Desktop,4 Cores,United Kingdom,2/16/2015
165,49008,Former_Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,Germany,3/29/2015
166,922,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008,>512 MB  & <= 1 GB,Desktop,1 Core,United States,1/12/2015
167,28364,Best_Customer,Build 232,Version 10.2,Lite,MS Win Server 2003, > 6 GB,Mobile,1 Core,Germany,3/5/2015
168,36280,Former_Best,Build 380,Version 8.3,High,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,2 Cores,Australia,2/27/2015
169,29140,Former_Best,Build 232,Version 8.3,Standard,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,Germany,3/3/2015
170,6470,Former_Best,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Mobile,4 Cores,United States,3/23/2015
171,76857,Best_Customer,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Mobile,8 Cores,United States,1/17/2015
172,47620,Former_Best,Build 232,Version 7.1,Standard,MS Win XP,>1GB & <= 2 GB,Laptop,1 Core,United Kingdom,3/16/2015
173,19070,Best_Customer,Build 232,Version 10.2,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Germany,1/13/2015
174,57663,Best_Customer,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,United States,1/2/2015
175,82811,Former_Best,Build 410,Version 8.3,Standard,MS Win Server 2003, > 6 GB,Laptop,1 Core,Germany,3/21/2015
176,9129,Best_Customer,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,Germany,3/30/2015
177,14788,Best_Customer,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Desktop,1 Core,Germany,3/7/2015
178,3104,One_time_user,Build 232,Version 8.3,High,MS Win Server 2003,>1GB & <= 2 GB,Desktop,1 Core,United Kingdom,1/13/2015
179,12620,Best_Customer,Build 232,Version 10.2,High,MS Win Server 2008, > 6 GB,Laptop,8 Cores,Germany,3/6/2015
180,80538,Former_Best,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United Kingdom,2/25/2015
181,61215,Former_Best,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,1 Core,Australia,3/19/2015
182,96276,Best_Customer,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Laptop,2 Cores,Japan,3/5/2015
183,18960,New_Client,Build 232,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,Germany,2/21/2015
184,95659,New_Client,Build 410,Version 8.3,High,MS Win XP, > 6 GB,Desktop,1 Core,Australia,3/7/2015
185,14293,One_time_user,Build 232,Version 7.1,High,MS Win 7, > 6 GB,Laptop,1 Core,United States,1/23/2015
186,46219,Former_Best,Build 410,Version 10.2,High,MS Win Server 2003,>2GB & <= 4 GB,Desktop,1 Core,Germany,2/1/2015
187,83519,Best_Customer,Build 410,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,8 Cores,Germany,3/24/2015
188,91880,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,United States,3/11/2015
189,8341,Best_Customer,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Laptop,8 Cores,United Kingdom,2/26/2015
190,55974,One_time_user,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Laptop,1 Core,Australia,2/24/2015
191,82760,Former_Best,Build 232,Version 7.1,High,MS Win Server 2003,>4GB & <= 6 GB,Desktop,1 Core,Australia,1/15/2015
192,26850,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,United States,2/25/2015
193,9548,Former_Best,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,Australia,1/18/2015
194,7524,Best_Customer,Build 380,Version 7.1,Standard,MS Win Server 2003, > 6 GB,Desktop,4 Cores,Australia,4/1/2015
195,58335,Best_Customer,Build 410,Version 8.3,High,MS Win XP, > 6 GB,Desktop,1 Core,Australia,3/24/2015
196,93384,One_time_user,Build 232,Version 9.4,High,MS Win Server 2008, > 6 GB,Desktop,8 Cores,Germany,1/6/2015
197,78250,Best_Customer,Build 410,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Desktop,1 Core,Germany,3/9/2015
198,77037,Best_Customer,Build 410,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,United Kingdom,2/8/2015
199,76536,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,1 Core,United States,3/14/2015
200,44011,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2008, > 6 GB,Laptop,8 Cores,Germany,2/26/2015
201,53028,Former_Best,Build 232,Version 10.2,High,MS Win Server 2003, > 6 GB,Laptop,1 Core,Germany,2/20/2015
202,10686,Best_Customer,Build 232,Version 9.4,High,MS Win Server 2008,>2GB & <= 4 GB,Desktop,8 Cores,Australia,1/3/2015
203,16148,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,4 Cores,United States,2/26/2015
204,92804,One_time_user,Build 999,Version 7.1,Standard,MS Win Server 2008,>2GB & <= 4 GB,Laptop,1 Core,United Kingdom,3/31/2015
205,11971,Best_Customer,Build 232,Version 7.1,High,MS Win Server 2008, > 6 GB,Desktop,2 Cores,Germany,1/5/2015
206,78658,Former_Best,Build 232,Version 7.1,High,MS Win XP, > 6 GB,Desktop,4 Cores,Germany,1/31/2015
207,95170,Former_Best,Build 232,Version 8.3,High,MS Win 7,>4GB & <= 6 GB,Desktop,2 Cores,United States,3/12/2015
208,18053,New_Client,Build 232,Version 7.1,High,MS Win Server 2003, > 6 GB,Desktop,2 Cores,Australia,3/30/2015
209,77364,Former_Best,Build 232,Version 9.4,High,MS Win Server 2008, > 6 GB,Desktop,1 Core,Australia,3/23/2015
210,23534,Best_Customer,Build 232,Version 7.1,Standard,MS Win Server 2003,>512 MB  & <= 1 GB,Desktop,8 Cores,United Kingdom,2/21/2015
211,61780,Former_Best,Build 410,Version 7.1,High,MS Win Server 2003,>1GB & <= 2 GB,Desktop,1 Core,Germany,1/5/2015
